City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cidreira,BR,70.9,few clouds,-30.1811,-50.2056,Hotel Castelo
7,Lafayette,US,67.95,clear sky,30.2335,-92.0668,"Drury Inn & Suites Lafayette, LA"
16,Sakakah,SA,71.76,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
30,Puerto Ayora,EC,71.73,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Bambous Virieux,MU,73.22,few clouds,-20.3428,57.7575,Casa Tia Villa
34,New Norfolk,AU,70.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
35,Yambio,SS,67.15,overcast clouds,4.5721,28.3955,Naivasha Hotel
37,Hobart,AU,71.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
39,Busselton,AU,61.52,broken clouds,-33.65,115.3333,Observatory Guest House
41,Laguna,US,71.15,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
48,Carnarvon,AU,71.04,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
52,Kijang,KR,69.53,clear sky,35.2442,129.2139,Samyang Beach Villa
54,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
61,Ciudad Del Maiz,MX,62.24,few clouds,22.4,-99.6,Hotel Casona del General
79,Maputo,MZ,64.22,scattered clouds,-25.9653,32.5892,Pestana Rovuma
86,Hami,CN,62.67,overcast clouds,42.8,93.45,Laoyutang Resort
87,Castro,BR,63.05,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
91,Ponta Do Sol,PT,61.43,broken clouds,32.6667,-17.1,Hotel do Campo
92,Pringsewu,ID,72.45,overcast clouds,-5.3582,104.9744,Urban Style by Front One
112,Esperance,AU,63.88,clear sky,-33.8667,121.9,Hospitality Esperance
118,Ngunguru,NZ,63.81,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
119,Grand Gaube,MU,73.38,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
129,Los Llanos De Aridane,ES,60.55,few clouds,28.6585,-17.9182,Valle Aridane
133,Yurimaguas,PE,73.51,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
135,Port Alfred,ZA,60.24,clear sky,-33.5906,26.891,The Halyards Hotel
137,Saint-Paul,RE,72.73,clear sky,-21.0096,55.2707,Boucan Canot
141,Codrington,AU,71.22,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
142,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
149,Sao Miguel Do Araguaia,BR,72.32,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
150,Ribeira Grande,PT,63.91,moderate rain,38.5167,-28.7,Quinta da Meia Eira
160,Praia Da Vitoria,PT,63.75,broken clouds,38.7333,-27.0667,Hotel Branco I
163,Sirari,TZ,61.2,light rain,-1.2333,34.4333,TEMBO LODGE ISIBANIA
164,Jacareacanga,BR,74.23,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
168,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
170,Barra Do Garcas,BR,71.29,clear sky,-15.89,-52.2567,Pousada Tropical
173,Iquique,CL,60.84,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
175,Lagoa,PT,62.44,light rain,39.05,-27.9833,Casa Das Faias
176,Itacarambi,BR,70.25,clear sky,-15.1022,-44.0919,POUSADA CAMALEÃO
192,Saint-Pierre,RE,72.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
197,Namibe,AO,72.66,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
199,Chimoio,MZ,60.37,overcast clouds,-19.1164,33.4833,Predio Livraria Ahmed
206,Christchurch,NZ,61.95,broken clouds,-43.5333,172.6333,The George
207,Saint-Philippe,RE,72.21,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
208,Hasaki,JP,61.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
211,Woodward,US,70.83,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
212,Ahipara,NZ,62.47,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
218,Rio Pardo De Minas,BR,62.85,clear sky,-15.6097,-42.5397,Hotel Oásis Cidade Alta
226,Astorga,BR,68.97,overcast clouds,-23.2325,-51.6656,Rancho Jads
227,Tocopilla,CL,65.91,scattered clouds,-22.092,-70.1979,Hotel Galvarino
229,Kaeo,NZ,63.32,light rain,-35.1,173.7833,Bushido Lodge
234,Cap Malheureux,MU,73.47,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
236,Neyshabur,IR,66.65,overcast clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
241,Enid,US,70.09,overcast clouds,36.3956,-97.8784,Ramada by Wyndham Enid
245,Malanje,AO,62.1,broken clouds,-9.5402,16.341,Hotel Ginga
255,Saint-Joseph,RE,71.2,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
260,Beyneu,KZ,62.38,broken clouds,45.3167,55.2,NUR
264,Mirebalais,HT,73.78,broken clouds,18.8333,-72.1053,Le Jardin
267,Panzos,GT,72.61,overcast clouds,15.4,-89.6667,Hotel Noemi
268,San Quintin,MX,60.03,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
269,Sao Filipe,CV,71.38,clear sky,14.8961,-24.4956,Hotel Xaguate
278,Chimbote,PE,66.0,overcast clouds,-9.0853,-78.5783,Hotel Briliá
280,San Clemente,US,64.85,scattered clouds,33.427,-117.612,Casablanca Inn
288,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
291,Katsuura,JP,61.05,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
292,Mongu,ZM,64.09,clear sky,-15.2484,23.1274,Country Lodge Mongu
293,Sungaipenuh,ID,72.79,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
297,Alexandria,EG,62.71,clear sky,31.2156,29.9553,Royal Crown Hotel
302,Chalus,IR,60.26,light intensity shower rain,36.655,51.4204,Rama Spa
310,Paita,PE,68.79,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
311,Richards Bay,ZA,61.3,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
317,Mineiros,BR,68.04,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
323,Masuri,KR,64.09,clear sky,35.8488,128.1492,가야힐리언스 펜션
326,Inirida,CO,72.05,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
330,Canico,PT,61.43,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
337,Makungu,TZ,62.98,heavy intensity rain,-8.7333,35.2833,Complex
339,Tibu,CO,73.44,overcast clouds,8.639,-72.7358,Hotel Yuliana's
371,Puerto Del Rosario,ES,64.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
379,Havelock,US,62.92,clear sky,34.8791,-76.9013,Sherwood Motel
398,Cedartown,US,60.55,clear sky,34.0537,-85.255,Quality Inn
399,Phek,IN,67.8,clear sky,25.6667,94.5,Prayer Centre
400,Wuxi,CN,67.95,few clouds,31.5689,120.2886,Wuxi Jinjiang Grand Hotel
402,Mwinilunga,ZM,60.46,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
404,Lithgow,AU,61.48,light rain,-33.4833,150.15,Zig Zag Motel Lithgow
408,Sesheke,ZM,65.77,scattered clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
415,Tongling,CN,62.35,overcast clouds,30.95,117.7833,Huoxian Hotel
416,Virginia Beach,US,60.01,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
419,Khash,IR,69.51,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
420,Batemans Bay,AU,70.11,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
422,Senanga,ZM,65.21,scattered clouds,-16.1167,23.2667,Zango lodge
423,Guerrero Negro,MX,61.61,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
429,Aksu,CN,60.51,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
430,La Macarena,CO,72.84,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
438,Ambovombe,MG,66.29,light rain,-25.1667,46.0833,RELAHARA
450,Formosa Do Rio Preto,BR,74.55,broken clouds,-11.0483,-45.1931,Porto Center Hotel
452,Caravelas,BR,74.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
453,Benghazi,LY,69.03,clear sky,32.1167,20.0667,Tibesti Hotel
462,Zhoucheng,CN,61.0,overcast clouds,35.9122,116.3117,Yingbin Restaurant
467,Kushima,JP,74.79,overcast clouds,31.4583,131.2333,Hanaoka
480,Lardos,GR,64.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
486,Nuevitas,CU,74.93,broken clouds,21.5453,-77.2644,Hotel Caonaba
490,Hit,IQ,72.72,clear sky,33.6416,42.8251,بيت ابو رباح
492,Tshikapa,CD,67.03,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
497,Namie,JP,63.55,overcast clouds,37.4833,141.0,いこいの村なみえ
504,Half Moon Bay,US,60.58,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
506,Lucapa,AO,64.09,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
513,Topeka,US,71.38,overcast clouds,39.0483,-95.678,Hotel Topeka At City Center
515,Damietta,EG,64.29,clear sky,31.4165,31.8133,SULIMAN INN
522,Grand Baie,MU,73.45,moderate rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
524,Karaton,ID,73.49,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
531,Areka,ET,60.91,overcast clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
532,Sarahan,IN,63.73,clear sky,31.5167,77.8,OYO 39328 Bushahr Heights
541,Marsh Harbour,BS,73.92,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
544,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
545,Les Cayes,HT,73.33,scattered clouds,18.2,-73.75,Villa Orphee
550,Broken Hill,AU,67.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
553,Mucurici,BR,68.68,clear sky,-18.0933,-40.5158,Resort of Mucurici
558,Formiga,BR,63.79,clear sky,-20.4644,-45.4264,Victor Plaza Hotel
559,Kamina,CD,61.95,few clouds,-8.7386,24.9906,Guest House Florvia
564,Pisco,PE,66.25,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
572,Matay,EG,66.83,clear sky,28.419,30.7792,Nag Aespen
586,Kalabo,ZM,62.56,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
606,Sydney,AU,73.31,light rain,-33.8679,151.2073,The Grace Sydney
613,Bardiyah,LY,63.72,few clouds,31.7561,25.0865,بورتو بردية
615,Ardakan,IR,67.33,broken clouds,32.31,54.0175,Ardakan Hotel
617,La Union,PE,71.69,overcast clouds,-5.4,-80.75,Los Portales
620,Ascension,US,68.02,clear sky,30.2169,-90.9001,Highland Inn
621,Morondava,MG,72.97,clear sky,-20.2833,44.2833,La Case Bambou
622,Bolobo,CD,71.49,overcast clouds,-2.1667,16.2333,Hotel de Stephen
626,Mabaruma,GY,73.99,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
627,Kirkwood,US,67.59,overcast clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
631,Yenagoa,NG,72.54,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
633,Samfya,ZM,63.28,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
635,Komsomolskiy,UZ,61.52,broken clouds,40.4272,71.7189,Ikathouse
636,Riyadh,SA,73.54,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
643,Hualmay,PE,66.36,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
645,Mount Gambier,AU,71.51,broken clouds,-37.8333,140.7667,The Commodore
646,Samana,DO,70.95,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
649,Rincon,US,64.36,clear sky,32.296,-81.2354,Days Inn Rincon
665,Lima,PE,67.89,overcast clouds,-12.0432,-77.0282,Hotel Kamana
671,Urucui,BR,74.82,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
676,Mancio Lima,BR,73.33,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
678,Coahuayana,MX,74.12,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
683,Kundiawa,PG,74.08,overcast clouds,-6.0167,144.9667,Pari
686,Armeria,MX,74.32,clear sky,18.9333,-103.9667,Hotel la Herradura
688,Guigue,VE,73.24,overcast clouds,10.0853,-67.7792,La vasquereña
694,Caetes,BR,65.52,overcast clouds,-8.7731,-36.6225,Chácara Hilston
